City,Country,Continent,Summer (Olympiad),Winter,Year,Opening Ceremony,Closing Ceremony
Lillehammer,Norway,Europe,—,W017XVII,1994,000000002018-02-12-0000February 12,000000002018-02-27-0000February 27
Atlanta,United States,North America,S026XXVI,—,1996,000000002018-07-19-0000July 19,000000002018-08-04-0000August 4
Nagano,Japan,Asia,—,W018XVIII,1998,000000002018-02-07-0000February 7,000000002018-02-22-0000February 22
Sydney,Australia,Oceania,S027XXVII,—,2000,000000002018-09-15-0000September 15,000000002018-10-01-0000October 1
Salt Lake City,United States,North America,—,W019XIX,2002,000000002018-02-08-0000February 8,000000002018-02-24-0000February 24
Athens,Greece,Europe,S028XXVIII,—,2004,000000002018-08-13-0000August 13,000000002018-08-29-0000August 29
Torino,Italy,Europe,—,W020XX,2006,000000002018-02-10-0000February 10,000000002018-02-26-0000February 26
Beijing[i],China,Asia,S029XXIX,—,2008,000000002018-08-08-0000August 8,000000002018-08-24-0000August 24
Vancouver,Canada,North America,—,W021XXI,2010,000000002018-02-12-0000February 12,000000002018-02-28-0000February 28
London,United Kingdom,Europe,S030XXX,—,2012,000000002018-07-27-0000July 27,000000002018-08-12-0000August 12
Sochi,Russia,Europe[h],—,W022XXII,2014,000000002018-02-07-0000February 7,000000002018-02-23-0000February 23
Rio de Janeiro,Brazil,South America,S031XXXI,—,2016,000000002018-08-05-0000August 5,000000002018-08-21-0000August 21
Pyeongchang,South Korea,Asia,—,W023XXIII,2018,000000002018-02-09-0000February 9,000000002018-02-25-0000February 25
Tokyo,Japan,Asia,S032XXXII,—,2020,000000002018-07-24-0000July 24,000000002018-08-09-0000August 9
Beijing,China,Asia,—,W024XXIV,2022,000000002018-02-04-0000February 4,000000002018-02-20-0000February 20
Paris,France,Europe,S033XXXIII,—,2024,000000002018-07-26-0000July 26,000000002018-08-11-0000August 11
TBD,TBD,,—,W025XXV,2026,(TBD),
Los Angeles,United States,North America,S034XXXIV,—,2028,000000002018-07-21-0000July 21,000000002018-08-06-0000August 6
TBD,TBD,,—,W026XXVI,2030,(TBD),
